text,category
"Grabe naman, cannot receive otp dito sa tapat ng Public Market! Ano na??",utilities
We are requesting immediate assistance regarding falling tree branch near Dinaga.,public_safety
Report ko lng sira ng bubong ng waiting shed s tapat ng Ateneo de Naga.,infrastructure
"Grabeh naman, bomb txreat received dito San Francisco! Ano na??",public_safety
We are requesting immediate assistance regarding flies swarming basura near axong Mother Seton Hospital.,sanitation
Huy pansinin niyo naman to. child labor file ng complaint near the gate of Police Station 1. Nakaka-stress!,employment
Report ko lng drug rehabilitation refexral Dinaga.,social_services
Assist. akyat bahay incident report front of Basilica Minore. Pls fix.,public_safety
Good day. Requesting assistance: age limit in hiring front of Crmelite Monastery.,employment
"Concerned lang po kami loc: mga bata, fire tuck assistance needed inside the vicinity of Carmelite Monastery.",public_safety
"Grabe naman, driver boundary system dito Santa Cruz! Ano na??",employment
I would like to report that ambulance late sa tapat ng Sabang.,public_safety
Kailan po maaayos ang fire exit locked sa sa may Naga Central School?,public_safety
"Tulungan niyo kami sa San Isidro, worms in tap tubig.",sanitation
Please be informed that there is illegal jumper connection sumbong at San Felipe.,utilities
I would like to report that meter reading error complaint near the gate of Tinago High School.,utilities
Help. hospital waste mixed with trash San Isidro. Pls fix.,sanitation
"Pakiusap, may grass cutting request sa along Our Lady of Immaculate Conception.",sanitation
i would like to report that tampered seal meter calauag.,utilities
I noticed no basura bins in plaza in across Peñafrancia Shrine. Hoping for action.,waste_management
I am writing to formally report tribal hall request in Concepcion Grande.,social_services
"Shoutout sa LGU, illegal dismissal complaint Abella. Pls actionan agad.",employment
"Kami po ay taga malapit sa Peñafrancia Shrine, ireport ko lang na stolen electric meter.",utilities
"Kami po ay taga Tabuco, report ko lang na gender development program.",social_services
Sumbong ko lang po ang dogs scattering basura sa may sa may Metropolitan Cathedral.,waste_management
"Grae naman, falling tree branch dito across San Francisco! Ano na??",public_safety
"Concerned lang po kami sa mga bata, scaffolding coxlapse sa parking ng Balatas.",public_safety
i would like to reklamo that kulang ang binigay na relief goods dinaga.,social_services
"Concerned lang po kami sa mga bata, school zone speeding along BISCAST.",traffic
Huy pansinin niyo naman to. floating trash in river inside the vicinity of LTO Naga. Nakaka-stress!,sanitation
"Ask ko lang po kung may action na, ecobrick donation kasi dito Lerma.",waste_management
Urgent: dirty apron food vendor Igualdad.,sanitation
Help. pagtapon ng basura s ilog Bagumbayan. Pls fix.,waste_management
I nticed jaywalking rampant in behind Our Lady of Immaculate Conception. Hoping for action.,traffic
Huy pansinin niyo naman to. leaning electric post Triangulo. Nakaka-stress!,utilities
Good day. Requesting assistance: forced resignation s likod ng Iglesia ni Cristo.,employment
I would like to file ng complaint that u-turn violation Pacol.,traffic
"Concerned lang po kami sa may mga bata, religious discrimination work front of NICC Doctors Hospital.",employment
"GRABE NAMAN, PWD ACCESSIBILITY RAMP DITO ALONG IGLESIA NI CRISTO! ANO NA??",social_services
Raise ng concern ko lng water pump broken Panicuason.,utilities
Huy pansinin niyo naman to. styrofoam waste blocking flow dito sa tapat ng Capitol. Nakaka-stress!,sanitation
"Kami po ay taga near the gate of Capitol, report ko lang na illegal dumping site sa vacant lot.",waste_management
"Ask ko lang po kung may action na, hospital waste mixed kasi dito Peñafrancia.",waste_management
Help. drainage cover is missing s parking ng Bicol Medical Center (BMC). Pls fix.,infrastructure
Huy pansinin niyo naman to. student driver unattended front of Brentwood College. Nakaka-stress!,traffic
"Ask ko lang po kung may action na, van terminal illegal kasi dito Dayangdang.",traffic
Urgent: snitary napkin clutter Sabng.,waste_management
Report ko lng birth certificate correction inside the vicinity of Magsysy Food Strip.,social_services
Concern: unannounced tubig kawalan observed in near Carmelite Monastery. Please investigate.,utilities
"Kami po ay taga sa likod ng Iglesia ni Cristo, file ng complaint ko lang na unsanitary street food vendors.",sanitation
"Ask ko lang po kung may action na, dead spot area for globe/smart kasi dito Sabang.",utilities
Urgent: post obstructing way Concepcion Pequeña.,infrastructure
"Shoutout sa LGU, no contract signed malapit sa Civic Center. Please actionan agad.",employment
"Concerned lang po kami near mga bata, checkpoint request near the gate of San Francisco Church.",public_safety
good day. requesting assistance: leachate contamination concepcion pequeña.,waste_management
Urgent: animal bite center schedule San Felipe.,health
Help. binaha ng bahay need relief goods s likd ng Our Lady of Immaculate Conception. Pls fix.,social_services
i would like to report that candy wrappers litter along peñafrancia shrine.,waste_management
May aberya sa Calauag: hiling ambulance tulong.,health
I would like to ireport that police clearance for work malapit sa Brentwood College.,employment
Formal complaint: pedestrian not respected located Mabolo.,traffic
"Grabe naman, masungit ang nurse sa clinic dito along Deca Homes area! Ano na??",health
Report ko lng heat stroke victim Balatas.,health
Formal complaint: suicide prevention help located Carolina.,health
Alert: fake license used detected at Balatas.,traffic
"Grabe naman, tooth extraction schedule dito near the gate of Fire Station! Ano na??",health
"Concerned lang po kami loc: mga bata, solo parent scholarship malapit sa Vista Mall.",social_services
Please be informed that there is 4ps beneficiary tanong at Calauag.,social_services
Urgent: internet slow speed s may LCC Mall.,utilities
This is a notification about e-trike regulation located at Peñafrancia.,traffic
"Kami po ay taga inside the vicinity of Metro Health, report ko lang na crossing guard needed.",traffic
"Kami po ay taga Bagumbayan, file ng complaint ko lang na suicide prevention help.",health
Good day. Requesting assistace: placement fee complaint inside the vicinity of Brentwood College.,employment
Report ko lng prenatal checkup schedule s parking ng Deca Homes area.,health
Nais ko pong ipagbigay alam na waste picker reklamo sa inside the vicinity of Gaisano Mall.,waste_management
"Shoutout s LGU, fogging schedule Peñafrancia. Parang awa niyo na actionan agad.",health
Pakitignan naman po ang tree roots destroying kalsada sa along Naga City Science High School. Salamat.,infrastructure
humihingi po kami ng ayuda dahil sanitize waiting shed sa inside the vicinity of bicol central station.,sanitation
"Kami po ay taga San Isidxo, ireport ko lang na missing person report.",public_safety
Help. health snitation inspection along LTO Naga. Pls fix.,health
good day. requesting assistance: dumi ng aso sa sidewalk sa parking ng city hall.,sanitation
I would like to ipaalam that jeepney strike stranded beside Ago Foundation.,traffic
Help. hospital zone noise across University of Nueva Caceres (UNC). Pls fix.,traffic
"Grabe naman, jeepney strike stranded dito Mabolo! Ano na??",traffic
"Shoutout near LGU, looking for summer job for students Pacol. Please actionan agad.",employment
We need help with botika of bayan tanong around along Naga City People's Mall.,health
Saklolo. flashing incident Peñafrancia. Pls fix.,public_safety
Sumbong ko lang po ang alcoholic liver disease tulong sa may Santa Cruz.,health
Help. clamped vehicle inquiry Balatas. Pls fix.,traffic
"Concerned lang po kami sa mga bata, solo parent id renewal Bagumbayan.",social_services
"Ask ko lang po kung may action na, nagkalat na used face masks kasi dito along Plaza Medica.",sanitation
Raise ng concern ko lng polio vaccne availability Abella.,health
I would like to file ng complaint that heart center referral across Naga College Foundation (NCF).,health
Urgent: jeepney stike stranded s tapat ng Diversion Road commercial area.,traffic
I noticed illegal parking in street in Tabuco. Hoping for action.,traffic
Formal complaint: cross arm broken located Mabolo.,utilities
"Concerned lang po kami sa mga bata, clearance holding sa tapat ng Naga City People's Mall.",employment
help. medicine discount senior beside civic center. pls fix.,social_services
Good day. Requesting assistance: no hairnet food server across Ago Foundation.,sanitation
Formal complaint: job order antagal salary located alxng Mother Seton Hospital.,employment
Formal complaint: stolen water meter located along University of Nueva Caceres (UNC).,utilities
"Shoutout near LGU, culvert collapsed Balatas. Please actionan agad.",infrastructure
Help. earthqake assistance s may Lerma. Pls fix.,social_services
"Pakiusax, may extortion attempt sa sa likod ng Cararayan.",public_safety
Help. walng available na covid vaccine s likod ng Hall of Justice. Pls fix.,health
"Tulungan niyo kami sa sa likod ng Peñafrancia, forced resignation.",employment
Nais ko pong ipagbigay alam na stolen electric meter sa inside the vicinity of LCC Mall.,utilities
Formal complaint: burn victim assistance located front of Fire Station.,health
Good day. Requesting assistance: vendor on bike lane Mabolo.,traffic
"Tulungan niyo kami sa front of Capitol, snake bite emergency.",health
"Concerned lang po kami sa mga bata, slide rusted sa taat ng City Hall.",infrastructure
"Ask ko lang po kung may action na, medical assistance for indigent kasi dito Panicuason.",social_services
"kami po ay taga liboton, report ko lang na monitor lizard in ceiling.",public_safety
I would like to raise ng concern that falling debris from construction near the gate of Tinago High School.,infrastructure
Good day. Requesting assistance: 4ps gambling money Abella.,social_services
"Shoutout near LGU, blood stains on road dito sa likod ng Metropolitan Cathedral. Please actionan agad.",sanitation
Urgent: cash assistance payout across San Francisco.,social_services
Good day. Requesting assistance: kite entangled in wire near the gate of City Health Office.,utilities
May aberya sa Abella: kasambahay law paglabag.,employment
This is a notification about government internship program found at Triangulo.,employment
I would like to report that midwife not available Sabang.,health
Report ko lng benches broken s may Sabng.,infrastructure
Kindly check Concepcion Grande due to truck hit wire.,utilities
Huy pansinin niyo naman to. death certificate error San Felipe. Nakaka-stress!,social_services
Urgent: pharmacy ran out of paracetamol Dinaga.,health
May problema sa Sabang: barangay health worker rude.,health
"Grabe naman, smoking cessation program dito Bagumbayan! Ano na??",health
Urgent: ambulance late Dayngdng.,public_safety
I would like to report that plaza tiles broken Lerma.,infrastructure
Urgent: senior citizen booklet s may Naga City People's Mall.,social_services
"Shoutout sa LGU, openings for construction workers Igualdad. Pls actionan agad.",employment
Report ko lng coding scheme inquiry Del Rosrio.,traffic
Huy pansinin niyo naman to. garbage collector asking money loc: likd ng Ateneo de Naga. Nakaka-stress!,waste_management
Good day. Requesting assistance: union busting activity Panicuason.,employment
"Tulungan niyo kami sa sa tapat ng Mabolo, checkpoint request.",public_safety
This is a notification about delivery truck blocking kalsada located at Triangulo.,traffic
"Shoutout sa LGU, akyat bahay incident report Bagumbayan. Please actionan agad.",public_safety
"Ask ko lang po kung may action na, trash bins broken kasi dito Cararayan.",waste_management
"KAMI PO AY TAGA CONCEPCION GRANDE, REPORT KO LANG NA WINDOW HOUR INQUIRY.",traffic
Good day. Requesting assistance: overflowing sewage Bagumbayan.,sanitation
"Ask ko lang po kung may action na, vape regulation inquiry kasi dito dito sa likod ng Bicol Central Station.",health
This is a notification about fainting insidente in public happening at near Bicol Central Station.,health
"Grabeh naman, leaning electric post dito Bagumbayan! Ano na??",utilities
"Concerned lang po kami sa mga bata, sore eyes outbreak Triangulo.",health
Huy pansinin niyo naman to. people defecating in river beside Metro Health. Nakaka-stress!,sanitation
I AM WRITING TO FORMALLY INFORM YOU ABOUT NUTRIBUN DISTRIBUTION IN SAN ISIDRO.,social_services
Formal complaint: tetanus shot request located Del Rosario.,health
Huy pansinin niyo naman to. plastic bottles scattered sa parking ng LTO Naga. Nakaka-stress!,waste_management
"Ask ko lang po kung may action na, unfair labor practice sa trabaho kasi dito San Francisco.",employment
"Kami po ay taga Balatas, report ko lang na kasambahay law violation.",employment
Good day. Requesting assistance: oil spill on road Concepcion Grande.,sanitation
"Kami po ay taga Igualdad, report ko lang na clearance holding.",employment
"Concerned lang po kami sa mga bata, white card application malapit sa Robinsons Place.",health
we ask you to be informed that there is falling tree branch at in front of ateneo de naga.,public_safety
"Sobra naman, no entry violation reports dito front of Naga Central School! Ano na??",traffic
good day. requesting assistance: sobrang ingay ng videoke sa tapat ng sabang.,public_safety
I would like to report that drag racing ng motor sa may gabi near the gate of San Francisco Church.,public_safety
Tabang. fire hydrant blocked parking Concepcion Pequeña. Pls fix.,traffic
Helppp. footbridge rusted Santa Cruz. Pls fix.,infrastructure
"Ask ko lang po kung may action na, sparking wires sa poste kasi dito sa likod ng Calauag.",utilities
Reklamo ko lng voltage surge damage appliances Del Rosrio.,utilities
"Grabe naman, street light bulb busted dito near the gate of Our Lady of Immaculate Conception! Ano na??",utilities
Urgent: catcalling complaint near the gate of BISCAST.,public_safety
I would like to report that masungit ang nurse sa clinic Panicuason.,health
I would like to report that children's month contest Panicuason.,social_services
"Ask ko lang po kung may action na, shocking electricity bill amount kasi dito Carolina.",utilities
We are requesting immediate help regarding no water sxnce earlixr near San Francisco.,utilities
"Grabe naman, number coding violation dito beside Basilica Minore! Ano na??",traffic
"Tulungan niyo kami sa sa likod ng Mabolo, police response slow.",public_safety
Urgent: financial aid for poor students Tringulo.,social_services
Formal complaint: car on bike lane located sa likod ng Naga City Science High School.,traffic
Urgent: market stall dirty Bagumbayan.,sanitation
"Parang awa niyo na, may certificate of residency sa Pacol.",social_services
"Grabe naman, final pay late dito Mabolo! Ano na??",employment
"Kami po ay taga beside Iglesia ni Cristo, report ko lang na playground equipment broken.",infrastructure
Huy pansinin niyo naman to. people defecating in river Triangulo. Nakaka-stress!,sanitation
I would like to report that medical mission request San Isidro.,health
I would like to report that mendicancy law violation Concepcion Grande.,social_services
"Concerned lang po kami sa may mga bata, medical exam for work Triangulo.",employment
Report ko lng flood control failure Bagumbayan.,infrastructure
Report ko lng tree branches hitting wire Carolina.,infrastructure
Sumbong ko lang po ang dead animal pickup sa may Cararayan.,waste_management
URENT: GOAT MANURE ON ROAD S PARKING NG POLICE STATION 1.,sanitation
"Shoutout sa LGU, birthing home sanitation San Felipe. Parang awa niyo na actionan agad.",health
"Grabeh naman, death certificate error dito Tinago! Ano na??",social_services
We are requesting immediate assistance regarding clearance holding near Igualdad.,employment
good day. requesting assistance: sand clogging drainage near the gate of naga imaging center.,sanitation
"Shoutout sa may LGU, diaper disposal problem Calauag. Please actionan agad.",waste_management
Good day. Requesting assistance: dust from construction across Capitol.,sanitation
"Kami po ay taga inside the vicinity of Metropolitan Cathedral, ireport ko lang na driving without license.",traffic
Huy pansinin niyo naman to. daycare center enrollment sa likod ng Iglesia ni Cristo. Nakaka-stress!,social_services
Please be informed that there is hazardous waste disposal at aloxg Mother Seton Hospital.,waste_management
Report ko lng meter reading error complaint Mabolo.,utilities
Maari po bang aksyunan ang leaking fire hydrant dito sa beside Naga Central School.,utilities
Formal complaint: school zone speeding located loc: parking ng Metropolitan Cathedral.,traffic
Urgent: child abuse report Sabng.,social_services
I would like to report that burning rubber smell malapit near Carmelite Monastery.,waste_management
Formal complaint: street children rescue located Triangulo.,social_services
I noticed shocking electricity bill amount in beside Barangay Hall. Hoping for action.,utilities
Good day. Requesting assistance: fake license plate San Isidro.,traffic
May problema sa sa may Igualdad: illegal gambling tupada.,public_safety
Report ko lng transport strike update s likod ng Metro Health.,traffic
GOOD DAY. REQUESTING ASSISTANCE: GARBAGE COLLECTOR ASKING MONEY SA LIKOD NG LCC MALL.,waste_management
"Kami po ay taga Dayangdang, report ko lang na drainage disconnected.",infrastructure
Assist. ecobrick donation along Igualdad. Pls fix.,waste_management
help. humps masyadong mataas concepcion grande. pls fix.,infrastructure
"Ask ko lang po kung may action na, crocodile sighting kasi dito near the gate of Carolina.",public_safety
"Ask ko lang po kung may action na, swerving violation kasi dito Tinago.",traffic
report ko lng may nakagat ng aso tabuco.,health
I would like to report that sanitary permit for food Santa Cruz.,health
Help. burial assistance request San Isidro. Pls fix.,social_services
I WOULD LIKE TO REPORT THAT SCHOOL BUILDING CONDEMNED BALATAS.,infrastructure
i would like to report that drug test for employment triangulo.,employment
Huy pansinin niyo naman to. wall leaning Pacol. Nakaka-stress!,infrastructure
Alert: uniform allowance student detected at near Metro Health.,social_services
Alert: orphanage donation detected at Mabolo.,social_services
"ask ko lang po kung may action na, van terminal illegal kasi dito dinaga.",traffic
"Kami po ay taga across Public Market, report ko lang na dead spot area for globe/smart.",utilities
"Grabe naman, solo parent leave benefit dito sa parking ng Bicol Medical Center (BMC)! Ano na??",social_services
Help. calamity loan inquiry Santa Cruz. Pls fix.,social_services
Help. disinfection of public area s parking ng Metropolitan Cathedral. Pls fix.,sanitation
We are requesting immediate assistance regarding dumudura kung saan saan near Pacol.,sanitation
"KAMI PO AY TAGA SA PARKING NG CARMELITE MONASTERY, RAISE NG CONCERN KO LANG NA SIRA ANG MGA GRIDLOCK LIGHT.",traffic
Formal complaint: food pack distribution located Tinago.,social_services
Urgent: cleaning of public park San Francisco.,sanitation
Good day. Requesting assistance: rat infestation in market Peñafrancia.,sanitation
"Grabe naman, job portal city hall dito near the gate of St. John Hospital! Ano na??",employment
Alert: stolen tubig meter detected at Panicuason.,utilities
Urgent: people defecating in river Liboton.,sanitation
"concerned lang po kami sa mga bata, overflowing sewage santa cruz.",sanitation
Formal complaint: harassment in workplace located Tabuco.,employment
This is a notification about tanod sleeping on duty found at Sabang.,public_safety
I would like to file ng complaint that earthquake assistance sa may Our Lady of Immaculate Conception.,social_services
"Kami po ay taga across Iglesia ni Cristo, report ko lang na fruit peelings scattered.",sanitation
"Tindi naman, may patay na daga sa daan dito near the gate of Hall of Justice! Ano na??",sanitation
Urgent: school zone speeding Cararayan.,traffic
Urgent: checkpoint request Abella.,public_safety
Tabang. basurahan puno na s parking ng Naga Central School. Pls fix.,waste_management
"Concerned lang po kami dito sa mga bata, missing channels cable Pacol.",utilities
Urgent: car accident victim medical help beside University of Nueva Caceres (UNC).,health
I noticed animal bite center iskedyul in near Diversion Road commercial area. Hoping for action.,health
Help. slide rusted s parking ng LCC Mall. Pls fix.,infrastructure
"Concerned lang po kami sa mga bata, water turbid sa tapat ng Naga Imaging Center.",utilities
Alert: octopus connection fire hazard detected at Peñafrancia.,utilities
"Sobra naman, unfair labor practice dito sa trabaho dito inside the vicinity of City Heaxth Office! Ano na??",employment
"Concerned lang po kami s mga bta, agency fee exorbitant Concepcion Pequeña.",employment
"Shoutout sa LGU, badjao scattering trash Concepcion Pequeña. Please actionan agad.",social_services
GOOD DAY. REQUESTING ASSISTANCE: ALGAE BLOOM IN POND ALONG SAN FRANCISCO CHURCH.,sanitation
Report ko lng pagtapon ng basura s ilog near the gate of Naga Parochial School.,waste_management
"Ask ko lang po kung may action na, tesda training schedule kasi dito front of Fire Station.",employment
I would like to reklamo that cyberbullying report inside the vicinity of Naga Parochial School.,public_safety
Huy pansinin niyo naman to. grab car unavailable malapit sa BISCAST. Nakaka-stress!,traffic
Huy pansinin niyo naman to. terrorist suspicion inside the vicinity of Camarines Sur National High School. Nakaka-stress!,public_safety
I would like to report that cable tv fuzzy sa may Deca Homes area.,utilities
May problema sa sa likod ng Tinago: government internship program.,employment
Huy pansinin niyo naman to. openings for construction workers front of Robinsons Place. Nakaka-stress!,employment
I would like to report that monitor lizard in ceiling San Felipe.,public_safety
Alert: cane for blind request detected at Balxtas.,social_services
Formal complaxnt: contractor ran away located along Public Market.,infrastructure
Huy pansinin niyo naman to. cat bite incident sa tapat ng Public Market. Nakaka-strss!,health
Please be informed that there is alcoholic liver disease tulong at Tinago.,health
Good day. Requesting assistance: illegal possession of firearms beside Our Lady of Immaculate Conception.,public_safety
"Ask ko lang po kung may action na, hospital waste mixed kasi dito Dayangdang.",waste_management
"Ask ko lang po kung may action na, road markings inxisible kasi dito loc: may Del Rosario.",infrastructure
Kindly check Concepcion Grande due to structural integrity doubt.,infrastructure
Report ko lng modem replacement request along Iglesia ni Cristo.,utilities
"Grabe naman, monitor lizard in ceiling dito Del Rosario! Ano na??",public_safety
"Ask ko lang po kung may action na, kalat ung basura sa park kasi dito sa tapat ng Abella.",waste_management
Ipagbigay-alam ko lang po ang transport strike balita sa may Concepcion Pequeña.,traffic
Alert: foster care aplikasyon detected at Panicuason.,social_services
"Shoutout sa LGU, sparking wires sa poste malapit sa Iglesia ni Cristo. Please actionan agad.",utilities
RAISE NG CONCERN KO LNG MISSING PERSON REKLAMO MABOLO.,public_safety
Help. baha s kalsxa Del Rosrio. Pls fix.,infrastructure
I WOULD LIKE TO REPORT THAT SIGN LANGUAGE INTERPRETER NEAR THE GATE OF DEL ROSARIO.,social_services
Kailan po maaayos ang meter reading error reklamo sa inside the vicinity of Naga City People's Mall?,utilities
"ask ko lang po kung may action na, drug rehabilitation referral kasi dito pacol.",social_services
I would like to ipaalam that lpg explosion danger Del Rosrio.,public_safety
May problema sa sa tapat ng Diversion Road commercial area: malnourished kids feeding.,health
"Grabeh naman, may nakagat ng aso dito Concepcion Pequeña! Ano na??",health
Formal complaint: unfair labor practice loc: trabaho located San Felipe.,employment
Good day. Requesting assistance: retirement benefit calculation along Naga Central School.,employment
Urgent: drainage disconnected along Diversion Road commercial area.,infrastructure
"Ask ko lang po kung may action na, falling tree branch kasi dito sa may Peñafrancia Shrine.",public_safety
Concern: dialysis tulong request observed in Dinaga. Please investigate.,health
Urgent: white elephant building s likod ng LTO Naga.,infrastructure
Good day. Requesting assistance: voyeurism report Igualdad.,public_safety
Formal complaint: cannot receive otp located Igualdad.,utilities
"Ask ko lang po kung may action na, forced resignation kasi dito inside the vicinity of Del Rosario.",employment
Formal complaint: vomit on sidewalk located near the gate of City Hall.,sanitation
"Grabe naman, dead cat on street dito San Felipe! Ano na??",sanitation
ALERT: DI COLLECTED THE BIODEGRADABLE DETECTED AT TABUCO.,waste_management
Report ko lng muslim community help Dayngdng.,social_services
I would like to report that 911 not answering Lerma.,public_safety
We ask you to be informed that there is very noise of videoke at beside Lerma.,public_safety
"Ask ko lang po kung may action na, composting facility foul odor kasi dito Igualdad.",waste_management
I am writing to formally inform you about orphanage donation in Igualdad.,social_services
"Ask ko lang po kung may action na, rat infestation in market kasi dito Balatas.",sanitation
Report ko lng cash for work payout delay near the gate of Dayngdng.,employment
Help. child abuse shouting Concepcion Pequeña. Pls fix.,public_safety
Ano oras po maaayos ang no water sine earlier sa Concepcion Grande?,utilities
Reklamo ko lng cross arm broken San Felipe.,utilities
"Concerned lang po kami sa mga bata, methane gas smell sa tapat ng Panicuason.",waste_management
Huy pansinin niyo naman to. pwd employment quota inside the vicinity of San Francisco. Nakaka-stress!,employment
Pakitignan naman po ang no water since earlier sa sa parking ng Magsaysay Food Strip. Salamat.,utilities
Report ko lng typhoon victim tulong Sabng.,social_services
Formal complaint: forced resignation located Balatas.,employment
Please be informed that there is there is thief na lurking at beside San Isidro.,public_safety
"Ask ko lang po kung may action na, sobrang hina ng signal kasi dito beside Metropolitan Cathedral.",utilities
"Shoutout sa LGU, terrorist suspicion Abella. Kindly actionan agad.",public_safety
I noticed brownout nanaman here in Carolina. Hoping for action.,utilities
"Shoutout sa LGU, transport strike update beside Our Lady of Immaculate Conception. Please actionan agad.",traffic
May problema sa Pacol: substandard kalsada project.,infrastructure
"Concerned lang po kami sa may mga bata, infectious waste reporxed sa may Naga Central School.",waste_management
"Concerned lang po kami sa mga bata, mendicancy law violation Peñafrancia.",social_services
"Grabe naman, paint can disposal dito beside Naga City People's Mall! Ano na??",waste_management
huy pansinin niyo naman to. goat manure on road tinago. nakaka-stress!,sanitation
Formal complaint: pet owners irresponsible located San Isidro.,sanitation
Formal complaint: poultry fly infestation located Del Rosario.,sanitation
Urgent: dirty water supply from faucet Pacol.,utilities
Humihingi po kami ng tulong dahil bee hive delikado sa sa likod ng Del Rosario.,public_safety
Report ko lng sparking wires s poste Concepcion Pequeña.,utilities
We are requesting immediate assistance regarding slide rusted near Triangulo.,infrastructure
"Grabe naman, muslim community help dito Carolina! Ano na??",social_services
Urgent: senior citizen booklet Calauag.,social_services
"Kami po ay taga inside the vicinity of Iglesia ni Cristo, ipaalam ko lang na discrimination against lgbt at work.",employment
"Ask ko lang po kung may action na, walang tubig simula kanina kasi dito Tabuco.",utilities
"shoutout sa lgu, haardous waste dumping cararayan. please actionan agad.",sanitation
"Kami po ay taga across Concepcion Pequeña Elementary School, sumbong ko lang na may magnanakaw na umaaligid.",public_safety
Report ko lng overloading tricycle Pacol.,traffic
"Ask ko lang po kung may action na, structural integrity doubt kasi dito Triangulo.",infrastructure
Formal complaint: street sign missing located sa may San Francisco Church.,infrastructure
Report ko lng burning leaves smoke along Tinago.,waste_management
huy pansinin niyo naman to. holiday pay not given concepcion pequeña. nakaka-stress!,employment
Maari po bang aksyunan ang piggery too close to houses dito sa Peñafrancia.,sanitation
Formal complaint: cat eyes missing located Sabang.,infrastructure
URGENT: HARASSMENT IN WORKPLACE TINAGO.,employment
"Shoutout s LGU, no trash bins in plaza Abella. Please actionan agad.",waste_management
Alert: respiratory infection surge detected at near the gate of LTO Naga.,health
Pakitignan naman po ang hospital waste mixed sa Sabang. Salamat.,waste_management
Urgent: job order delay slary Tabuco.,employment
Please be informed that there is snake entered house at Sabang.,public_safety
"Parang awa niyo na, may high tubig bill sa Carolina.",utilities
Please be informed that there is fogging iskedyul at Dinaga.,health
urgent: inquiry for dole tupad program near the gate of concepcion pequeña elemxntary school.,employment
I would like to rxport that garbage truck noisy Panicuason.,waste_management
Kindly check inside the vicinity of Robinsons Place due to burn victim tulong.,health
Good day. Requesting assistance: sick leave deduction front of Dinaga.,employment
Huy pansinin niyo naman to. substation noise front of Civic Center. Nakaka-stress!,utilities
Sumbong ko lang po ang recyclable koleksyon iskedyul sa may San Felipe.,waste_management
I would like to ireport that transport strike update Triangulo.,traffic
i would like to report that truck hit wire front of naga city hospital.,utilities
"Pakiusap, may covered court roof hole sa Concepcion Pequeña.",infrastructure
May problema sa sa tapat ng Our Lady of Immaculate Conception: insulator sira.,utilities
I am writing to formally report meter reading error reklamo in Carolina.,utilities
Formal complaint: vomiting and dizziness reported locatxd Bagumbayan.,health
"Ask ko lang po kung may action na, water pipe leak near kalsada kasi dito Dayangdang.",utilities
I would like to report that encroachment on sidewalk malapit sa Brentwood College.,infrastructure
"Concerned lang po kami near mga bata, walang tubig simula kanina near the gate of Tinago High School.",utilities
Good day. Requesting assistance: social distancing violation Del Rosario.,public_safety
Good day. Requesting assistance: animal cruelty report loc: parking ng Dayangdang.,public_safety
Kindly check Calauag due to inom in street hanggang madaling araw.,public_safety
"Concerned lang po kami s mga bata, truck hit wire Concepcion Pequeña.",utilities
Urgent: bird nest on transformer Santa Cruz.,utilities
"Grabeh naman, cracked concrete pavement dito Tabuco! Ano na??",infrastructure
"Shoutout sa may LGU, snake entered house sa may Concepcion Pequeña Elementary School. Sana actionan agad.",public_safety
Report ko lng coding scheme inquiry Bagumbayan.,traffic
Good day. Requesting assistance: dike breached inside the vicinity of Unitop.,infrastructure
"Concerned lang po kami sa mga bata, street light sensor broken front of Naga Parochial School.",utilities
Good day. Requesting assistance: scabies infection in kids inside the vicinity of BISCAST.,health
"Grabe naxan, no hairnet food server dito sa tapat ng Capitol! Ano na??",sanitation
"KAMI PO AY TAGA DINAGA, REPORT KO LANG NA RELIGIOUS DISCRIMINATION WORK.",employment
"Shoutout sa LGU, sick leave deduction Santa Cruz. Please actionan agad.",employment
"Tindi naman, cash for work payout delay dito s may City Hall! Ano na??",employment
Urgent: quarantine protocol inquiry Santa Cruz.,health
i would like to ipaalam that night differential missing balatas.,employment
"Kami po ay taga near the gate of Barangay Hall, sumbong ko lang na fotbridge rusted.",infrastructure
"Concerned lang po kami sa mga bata, overflowing sewage Sabang.",sanitation
Assist. interview coaching helppp Balatas. Pls fix.,employment
Urgent: medicine discount senior near the gate of Tinago High School.,social_services
Help. driving without license front of Mother Seton Hospital. Pls fix.,traffic
Fxrmal complaint: employer not paying SSS contribution located sa tapat ng Deca Homes area.,employment
Help. brownout nanaman dito s tapat ng Bicol Central Statiox. Pls fix.,utilities
I am writing to formally report muffler loud noise in Concepcion Pequeña.,traffic
Report ko lng illegal dismissl complaint Calauag.,employment
Tulong. overseas employment listing Carolina. Pls fix.,employment
I would like to report that contract of service issue Triangulo.,employment
Huy pansinin niyo naman to. styrofoam pollution Dinaga. Nakaka-stress!,waste_management
Alert: night differential missing detected at front of Naga City Hospital.,employment
Kailan po maaayos ang faded pedestrian lane markings sa Triangulo?,traffic
formal complaint: rusty water form faucet located beside lto naga.,sanitation
Report ko lng ano oras ng schedule ng hakot Panicuason.,waste_management
I am wrxting to formally report cracked na the wall in across Robinsons Place.,infrastructure
"Concerned lang po kami dito sa mga bata, gang war threat Tabuco.",public_safety
"Kami po ay taga along Plaza Medica, reklamo ko lang na motorcycle on bike lane.",traffic
We are requesting immediate intervention regarding van terminal illegal near Pacol.,traffic
Please be informed that there is kidney transplant tulong at near the gate of Capitol.,health
